face_uid,gender,age_range,confidence,first_seen,last_seen
FACE_735621,male,42-48,73.6049,2025-08-23 10:35:51,2025-08-23 10:36:07
FACE_84080,female,06-20,91.1327,2025-12-12 17:27:48,2025-12-12 17:28:10
FACE_837013,female,06-20,75.765,2025-10-13 12:36:17,2025-10-13 12:36:22
FACE_815085,female,60-98,81.7676,2025-05-25 04:20:57,2025-05-25 04:21:07
FACE_527539,male,06-20,73.8498,2025-08-10 06:45:08,2025-08-10 06:45:13
FACE_719047,male,25-30,91.2673,2025-12-09 13:51:51,2025-12-09 13:52:20
FACE_575879,male,06-20,62.3984,2025-12-16 14:32:08,2025-12-16 14:32:19
FACE_511974,female,06-20,69.0913,2025-09-18 06:09:36,2025-09-18 06:09:48
FACE_116597,female,42-48,60.5092,2025-10-12 16:14:42,2025-10-12 16:15:08
FACE_108760,male,25-30,75.6137,2025-12-15 06:30:06,2025-12-15 06:30:10
FACE_188522,male,60-98,81.8631,2025-08-02 08:50:53,2025-08-02 08:51:14
FACE_126785,male,60-98,88.4591,2025-12-02 10:57:28,2025-12-02 10:57:35
FACE_794958,male,25-30,73.4042,2025-08-15 19:28:26,2025-08-15 19:28:34
FACE_890508,female,42-48,60.1062,2025-11-01 01:02:53,2025-11-01 01:02:54
FACE_755250,female,60-98,61.6838,2025-01-10 23:55:47,2025-01-10 23:56:13
FACE_842670,male,42-48,70.7272,2025-12-21 23:52:39,2025-12-21 23:52:55
FACE_230572,male,42-48,90.2332,2025-05-31 18:59:21,2025-05-31 18:59:48
FACE_410783,female,42-48,77.9948,2025-09-27 18:44:19,2025-09-27 18:44:39
FACE_109674,male,60-98,94.5895,2025-11-30 04:16:02,2025-11-30 04:16:27
FACE_968764,male,25-30,67.2927,2025-03-07 06:53:44,2025-03-07 06:54:00
FACE_176234,male,42-48,68.8192,2025-08-04 11:18:16,2025-08-04 11:18:32
FACE_908509,female,60-98,61.6015,2025-05-02 11:45:57,2025-05-02 11:46:25
FACE_738124,male,42-48,74.0501,2025-03-31 09:21:24,2025-03-31 09:21:36
FACE_737053,female,06-20,68.796,2025-05-17 16:02:18,2025-05-17 16:02:30
FACE_436273,male,60-98,80.3533,2025-11-13 19:16:41,2025-11-13 19:17:06
FACE_245874,female,42-48,75.5608,2025-07-14 13:04:04,2025-07-14 13:04:07
FACE_553356,female,06-20,82.607,2025-05-25 10:21:43,2025-05-25 10:22:08
FACE_846652,male,06-20,81.8619,2025-10-31 14:51:59,2025-10-31 14:52:15
FACE_873487,female,25-30,71.5449,2025-09-25 22:33:39,2025-09-25 22:34:08
FACE_537549,male,25-30,66.7384,2025-10-18 10:44:13,2025-10-18 10:44:38
FACE_679144,male,60-98,85.7222,2025-01-27 14:44:09,2025-01-27 14:44:11
FACE_747184,male,25-30,95.2018,2025-02-25 03:08:53,2025-02-25 03:09:06
FACE_254311,male,25-30,93.5186,2025-04-01 17:25:08,2025-04-01 17:25:25
FACE_516305,male,06-20,62.1903,2025-12-19 16:00:31,2025-12-19 16:01:01
FACE_934754,female,60-98,72.1475,2025-12-23 22:42:35,2025-12-23 22:42:48
FACE_905352,female,60-98,77.6308,2025-06-25 17:45:38,2025-06-25 17:45:40
FACE_149630,male,60-98,67.6428,2025-11-17 14:07:21,2025-11-17 14:07:30
FACE_200596,female,06-20,95.2711,2025-10-17 14:41:28,2025-10-17 14:41:40
FACE_731093,female,60-98,60.4214,2025-06-02 21:23:40,2025-06-02 21:23:56
FACE_833138,female,06-20,85.2832,2025-03-13 06:54:36,2025-03-13 06:54:55
FACE_468194,male,25-30,69.1624,2025-02-07 00:24:55,2025-02-07 00:25:21
FACE_987348,male,25-30,71.4975,2025-01-29 04:44:52,2025-01-29 04:44:54
FACE_797285,male,06-20,86.7405,2025-12-27 15:04:32,2025-12-27 15:04:43
FACE_683696,male,06-20,87.7894,2025-10-04 17:40:35,2025-10-04 17:40:36
FACE_354365,male,42-48,84.4201,2025-10-30 06:07:12,2025-10-30 06:07:29
FACE_893973,male,42-48,82.4624,2025-12-24 20:55:13,2025-12-24 20:55:23
FACE_457316,male,06-20,60.6682,2025-09-14 03:35:58,2025-09-14 03:36:09
FACE_462639,male,06-20,78.4091,2025-01-30 00:10:07,2025-01-30 00:10:12
FACE_647487,female,42-48,92.0238,2025-01-24 04:18:21,2025-01-24 04:18:40
FACE_339220,female,60-98,78.1014,2025-10-21 20:26:14,2025-10-21 20:26:21
FACE_157947,female,06-20,61.1435,2025-12-23 03:06:12,2025-12-23 03:06:42
FACE_81567,male,06-20,77.5027,2025-09-16 10:44:14,2025-09-16 10:44:24
FACE_696413,male,42-48,88.6852,2025-10-22 01:18:38,2025-10-22 01:18:46
FACE_797613,male,60-98,85.4951,2025-01-31 09:58:34,2025-01-31 09:58:46
FACE_806238,female,60-98,79.4421,2025-06-14 08:33:31,2025-06-14 08:33:51
FACE_58128,male,06-20,73.7385,2025-08-23 08:48:35,2025-08-23 08:48:55
FACE_487462,male,60-98,74.5514,2025-10-01 13:24:17,2025-10-01 13:24:35
FACE_164132,male,42-48,90.9185,2025-10-30 14:14:30,2025-10-30 14:14:53
FACE_891499,female,60-98,83.4923,2025-07-02 19:54:03,2025-07-02 19:54:28
FACE_553554,female,60-98,90.1529,2025-08-24 17:20:17,2025-08-24 17:20:47
FACE_839061,male,06-20,91.4768,2025-09-27 02:26:48,2025-09-27 02:27:06
FACE_88766,female,42-48,90.4102,2025-08-23 14:16:24,2025-08-23 14:16:30
FACE_278980,male,42-48,79.2913,2025-02-07 16:45:31,2025-02-07 16:45:37
FACE_840917,female,60-98,72.2208,2025-02-20 22:23:44,2025-02-20 22:23:45
FACE_538785,male,25-30,85.9552,2025-05-26 15:24:55,2025-05-26 15:25:10
FACE_714870,female,25-30,81.1981,2025-03-29 05:52:28,2025-03-29 05:52:55
FACE_377007,male,25-30,78.9817,2025-10-17 18:30:35,2025-10-17 18:30:59
FACE_638286,female,60-98,93.8435,2025-12-19 16:50:11,2025-12-19 16:50:41
FACE_754183,male,25-30,70.1992,2025-08-15 22:21:49,2025-08-15 22:22:13
FACE_47433,female,60-98,73.603,2025-08-11 05:36:29,2025-08-11 05:36:39
FACE_130461,female,42-48,77.1327,2025-04-29 03:53:52,2025-04-29 03:54:18
FACE_401118,female,42-48,86.754,2025-11-17 01:47:21,2025-11-17 01:47:31
FACE_564362,female,42-48,82.442,2025-10-20 13:38:10,2025-10-20 13:38:24
FACE_86602,male,25-30,93.7391,2025-11-12 04:32:29,2025-11-12 04:32:29
FACE_757842,female,60-98,89.4954,2025-01-29 18:57:01,2025-01-29 18:57:04
FACE_824585,female,60-98,72.4477,2025-02-21 10:40:29,2025-02-21 10:40:36
FACE_309981,male,25-30,84.3234,2025-08-16 16:27:06,2025-08-16 16:27:25
FACE_242795,male,06-20,89.3107,2025-03-17 08:06:42,2025-03-17 08:06:47
FACE_293497,female,25-30,63.1605,2025-09-07 03:54:53,2025-09-07 03:55:20
FACE_294841,male,06-20,85.1137,2025-03-19 08:46:29,2025-03-19 08:46:53
FACE_649476,male,42-48,63.1381,2025-08-08 16:30:48,2025-08-08 16:31:02
FACE_147174,female,25-30,94.1308,2025-04-10 10:04:03,2025-04-10 10:04:12
FACE_768677,female,42-48,63.5737,2025-07-02 18:46:52,2025-07-02 18:47:13
FACE_852409,female,06-20,70.2223,2025-03-13 22:32:06,2025-03-13 22:32:36
FACE_777379,female,06-20,80.7747,2025-06-19 04:15:58,2025-06-19 04:16:09
FACE_445201,male,42-48,67.5899,2025-01-13 03:48:39,2025-01-13 03:49:01
FACE_572805,male,42-48,84.1408,2025-05-12 11:02:11,2025-05-12 11:02:16
FACE_162246,male,60-98,77.0443,2025-02-06 01:23:31,2025-02-06 01:23:44
FACE_870817,female,42-48,83.308,2025-04-19 21:58:58,2025-04-19 21:59:01
FACE_568601,male,06-20,94.2056,2025-11-09 19:33:15,2025-11-09 19:33:18
FACE_823924,female,06-20,96.2792,2025-01-27 01:51:49,2025-01-27 01:52:07
FACE_230280,female,25-30,95.026,2025-04-06 04:44:48,2025-04-06 04:45:05
FACE_618558,female,25-30,74.7549,2025-10-13 07:15:43,2025-10-13 07:15:43
FACE_781970,male,06-20,65.3145,2025-07-05 01:12:10,2025-07-05 01:12:27
FACE_411371,female,25-30,81.2614,2025-12-08 16:34:49,2025-12-08 16:35:01
FACE_133814,male,25-30,90.6547,2025-09-18 07:39:15,2025-09-18 07:39:28
FACE_792683,female,25-30,72.4681,2025-05-12 12:26:38,2025-05-12 12:26:54
FACE_167150,female,42-48,66.1718,2025-07-05 16:11:31,2025-07-05 16:11:42
FACE_875325,female,60-98,65.3604,2025-03-14 02:39:36,2025-03-14 02:40:01
FACE_56398,male,06-20,60.8489,2025-07-11 15:14:45,2025-07-11 15:15:15
FACE_151219,male,42-48,89.1894,2025-06-01 05:45:15,2025-06-01 05:45:22
FACE_855065,male,06-20,88.1973,2025-08-03 20:32:28,2025-08-03 20:32:40
FACE_29426,female,25-30,86.8263,2025-11-16 22:08:56,2025-11-16 22:09:02
FACE_669128,male,25-30,96.3843,2025-03-30 21:36:52,2025-03-30 21:37:16
FACE_132580,male,60-98,78.1241,2025-06-10 03:58:28,2025-06-10 03:58:39
FACE_233136,female,42-48,85.4687,2025-07-10 07:20:57,2025-07-10 07:21:11
FACE_729925,female,25-30,75.9959,2025-03-03 12:18:13,2025-03-03 12:18:30
FACE_137749,female,42-48,87.0505,2025-09-17 02:03:04,2025-09-17 02:03:06
FACE_106929,male,60-98,61.1895,2025-02-16 02:03:11,2025-02-16 02:03:34
FACE_812675,male,42-48,60.4169,2025-05-08 11:46:12,2025-05-08 11:46:27
FACE_736095,male,06-20,84.333,2025-02-11 14:31:23,2025-02-11 14:31:40
FACE_399440,male,60-98,76.5203,2025-03-16 20:25:00,2025-03-16 20:25:27
FACE_949062,female,25-30,84.6305,2025-12-05 14:39:06,2025-12-05 14:39:18
FACE_406711,female,25-30,91.6648,2025-01-28 08:09:29,2025-01-28 08:09:31
FACE_271432,female,60-98,91.2969,2025-03-25 06:58:05,2025-03-25 06:58:32
FACE_849346,male,25-30,64.1149,2025-09-28 15:44:20,2025-09-28 15:44:48
FACE_215926,female,06-20,79.4355,2025-11-16 14:47:33,2025-11-16 14:47:58
FACE_48648,female,42-48,63.5578,2025-10-09 08:31:29,2025-10-09 08:31:47
FACE_721484,female,06-20,71.6645,2025-09-30 19:09:50,2025-09-30 19:10:20
FACE_196135,male,42-48,95.8261,2025-09-22 21:32:25,2025-09-22 21:32:25
FACE_44561,male,06-20,71.747,2025-02-19 09:58:08,2025-02-19 09:58:12
FACE_186098,female,06-20,95.0376,2025-07-25 07:47:56,2025-07-25 07:48:02
FACE_780538,female,06-20,86.3494,2025-03-21 13:58:44,2025-03-21 13:59:12
FACE_575412,male,42-48,90.7018,2025-01-05 10:00:08,2025-01-05 10:00:33
FACE_844412,female,06-20,85.2539,2025-04-06 18:11:24,2025-04-06 18:11:40
FACE_375570,female,25-30,72.1279,2025-10-16 15:31:33,2025-10-16 15:31:43
FACE_591302,female,60-98,87.7644,2025-07-18 12:02:24,2025-07-18 12:02:35
FACE_320769,female,42-48,97.1755,2025-10-31 07:25:54,2025-10-31 07:25:57
FACE_738719,male,25-30,96.2195,2025-09-23 14:28:21,2025-09-23 14:28:21
FACE_874959,male,42-48,93.48,2025-01-13 02:26:49,2025-01-13 02:26:58
FACE_959121,female,60-98,63.112,2025-05-27 00:57:27,2025-05-27 00:57:49
FACE_160297,female,25-30,91.0004,2025-12-24 02:11:45,2025-12-24 02:12:09
FACE_959,female,25-30,84.2848,2025-11-22 04:28:09,2025-11-22 04:28:30
FACE_579069,female,25-30,85.0579,2025-12-30 12:49:00,2025-12-30 12:49:22
FACE_213374,female,42-48,67.7873,2025-04-11 15:36:20,2025-04-11 15:36:50
FACE_725744,male,25-30,67.9764,2025-03-26 17:59:12,2025-03-26 17:59:41
FACE_179946,female,25-30,85.4375,2025-09-16 22:20:33,2025-09-16 22:21:01
FACE_759456,female,25-30,78.7425,2025-05-26 14:31:09,2025-05-26 14:31:26
FACE_605470,male,06-20,89.704,2025-06-29 00:29:54,2025-06-29 00:29:59
FACE_900238,male,25-30,79.7135,2025-12-16 13:52:39,2025-12-16 13:52:46
FACE_457472,male,42-48,77.0407,2025-03-27 01:42:25,2025-03-27 01:42:37
FACE_259669,female,42-48,65.8548,2025-05-26 05:48:50,2025-05-26 05:49:14
FACE_475058,male,42-48,61.4264,2025-03-21 06:07:51,2025-03-21 06:08:02
FACE_710921,female,06-20,66.3602,2025-05-13 01:11:29,2025-05-13 01:11:42
FACE_363411,male,06-20,81.0852,2025-03-07 10:13:53,2025-03-07 10:14:15
FACE_99531,male,06-20,91.3719,2025-03-22 15:46:18,2025-03-22 15:46:43
FACE_676386,female,60-98,75.1875,2025-07-26 01:03:52,2025-07-26 01:04:06
FACE_441489,male,06-20,79.0513,2025-08-19 11:17:00,2025-08-19 11:17:17
FACE_29050,female,42-48,96.9841,2025-06-18 15:39:20,2025-06-18 15:39:48
FACE_922265,female,60-98,63.5924,2025-02-04 13:23:12,2025-02-04 13:23:13
FACE_662239,male,06-20,60.5746,2025-12-13 07:52:54,2025-12-13 07:52:54
FACE_506349,female,25-30,61.1363,2025-09-16 05:11:16,2025-09-16 05:11:25
FACE_855321,female,60-98,85.6626,2025-09-08 02:23:07,2025-09-08 02:23:31
FACE_235434,female,25-30,93.1436,2025-05-27 03:27:14,2025-05-27 03:27:42
FACE_738285,male,60-98,93.4606,2025-03-20 11:42:30,2025-03-20 11:42:45
FACE_652571,male,06-20,61.2201,2025-12-11 19:15:06,2025-12-11 19:15:11
FACE_254573,female,60-98,79.7449,2025-07-25 14:45:47,2025-07-25 14:45:59
FACE_369942,male,25-30,75.307,2025-05-31 13:46:05,2025-05-31 13:46:08
FACE_608471,female,60-98,85.9001,2025-08-03 02:00:34,2025-08-03 02:00:49
FACE_668051,male,25-30,84.1601,2025-12-18 06:21:03,2025-12-18 06:21:11
FACE_839894,female,42-48,91.5867,2025-12-01 22:25:47,2025-12-01 22:25:59
FACE_74426,male,42-48,67.4209,2025-10-19 02:37:09,2025-10-19 02:37:35
FACE_794067,male,06-20,90.0685,2025-07-30 13:56:09,2025-07-30 13:56:25
FACE_160709,female,25-30,63.3508,2025-12-10 15:23:44,2025-12-10 15:24:00
FACE_955612,male,60-98,90.4902,2025-06-09 23:50:00,2025-06-09 23:50:07
FACE_43939,male,60-98,76.8189,2025-06-14 18:17:07,2025-06-14 18:17:23
FACE_418020,female,42-48,75.9483,2025-02-05 22:27:58,2025-02-05 22:28:19
FACE_730912,female,06-20,86.7459,2025-09-11 00:32:09,2025-09-11 00:32:23
FACE_32170,male,06-20,96.1374,2025-05-13 13:56:32,2025-05-13 13:56:54
FACE_799476,female,60-98,82.0108,2025-06-08 15:52:32,2025-06-08 15:52:55
FACE_800250,male,25-30,70.471,2025-04-18 01:44:41,2025-04-18 01:44:48
FACE_779121,male,60-98,78.3141,2025-07-29 12:20:18,2025-07-29 12:20:31
FACE_594165,female,60-98,95.1092,2025-06-17 13:02:38,2025-06-17 13:03:07
FACE_979385,male,06-20,63.6599,2025-09-24 05:56:02,2025-09-24 05:56:15
FACE_452805,female,60-98,84.2179,2025-12-11 10:49:32,2025-12-11 10:49:48
FACE_212087,female,42-48,62.4638,2025-03-07 21:20:38,2025-03-07 21:20:59
FACE_761568,female,06-20,72.4155,2025-10-13 10:58:42,2025-10-13 10:59:01
FACE_29757,male,25-30,65.3828,2025-06-25 08:39:05,2025-06-25 08:39:05
FACE_173215,female,60-98,73.0262,2025-09-04 19:31:54,2025-09-04 19:32:22
FACE_462047,female,60-98,77.8038,2025-07-25 06:30:16,2025-07-25 06:30:25
FACE_410773,male,06-20,94.5026,2025-01-18 22:42:59,2025-01-18 22:43:03
FACE_72745,male,25-30,71.6644,2025-01-23 16:56:27,2025-01-23 16:56:49
FACE_251780,female,06-20,76.5718,2025-06-30 15:19:32,2025-06-30 15:20:02
FACE_257332,male,60-98,73.4587,2025-08-26 11:59:42,2025-08-26 11:59:50
FACE_623226,female,25-30,78.1128,2025-10-23 00:46:57,2025-10-23 00:47:22
FACE_711571,male,25-30,94.3136,2025-07-25 15:31:24,2025-07-25 15:31:40
FACE_373176,female,06-20,69.0301,2025-08-09 07:31:57,2025-08-09 07:32:11
